"X1","X2","X3","X4","X5","X6","X7"
0,1,0,0,1,1953,1
0,0,0,0,1,1953,0
0,0,0,0,1,1953,1
0,1,0,0,0,1953,0
0,0,0,0,1,1953,1
0,1,0,0,0,1953,0
0,1,0,0,1,1953,1
1,0,0,0,0,1953,0
1,0,0,0,0,1953,0
0,1,0,0,1,1953,0
0,1,0,0,0,1953,0
1,0,0,0,0,1953,0
0,1,0,0,0,1953,0
0,1,0,0,1,1953,0
0,1,0,0,0,1953,0
0,1,0,0,0,1953,0
0,0,0,0,0,1953,1
0,0,0,0,1,1953,1
0,1,0,0,0,1953,0
0,0,0,0,0,1953,0
0,0,0,0,1,1953,1
0,1,0,0,0,1953,0
0,0,0,0,1,1953,1
0,0,0,0,0,1953,0
0,1,0,0,1,1953,0
0,1,0,0,0,1954,0
0,1,0,0,0,1954,1
0,1,0,0,1,1954,0
0,0,0,0,1,1954,0
0,1,0,0,1,1954,0
0,1,0,0,1,1954,0
0,1,0,0,1,1954,0
0,0,0,0,0,1954,0
0,1,1,1,1,1954,0
0,1,0,0,1,1954,0
0,0,0,0,0,1954,0
0,0,0,0,1,1954,0
0,0,0,0,1,1954,0
0,0,0,0,0,1954,1
0,1,0,0,0,1954,0
0,1,0,0,0,1954,0
0,1,0,0,1,1954,0
0,0,0,0,0,1954,0
0,1,0,0,0,1954,0
0,1,0,0,1,1954,0
0,0,0,0,0,1954,0
0,1,0,0,1,1954,0
0,0,0,0,0,1954,0
0,1,0,0,0,1954,1
0,0,0,0,0,1954,0
0,0,0,0,1,1954,1
0,1,0,0,1,1954,0
0,0,0,0,0,1954,0
0,0,0,0,1,1954,0
0,1,0,0,0,1954,0
0,0,0,0,0,1954,0
0,0,0,0,0,1954,0
0,1,0,0,0,1954,0
0,1,0,0,1,1954,0
0,0,0,0,0,1954,1
0,0,0,0,0,1954,0
0,1,0,0,1,1954,0
0,0,0,0,0,1954,0
0,0,0,0,0,1954,0
0,1,0,0,0,1954,0
0,0,0,0,0,1954,1
0,1,0,0,0,1954,1
0,1,0,0,0,1954,0
0,0,0,0,0,1954,1
0,1,0,0,1,1954,1
0,1,0,0,0,1954,0
0,0,0,0,0,1954,0
0,0,0,0,0,1954,0
0,1,0,0,1,1954,0
0,1,0,0,1,1954,0
0,0,0,0,0,1954,1
0,0,0,0,0,1954,0
0,0,0,0,0,1954,0
0,1,1,1,1,1954,0
0,0,0,0,0,1954,0
0,1,1,1,1,1954,0
6,0,0,0,0,1954,0
0,1,0,0,1,1954,1
0,0,0,0,1,1954,1
0,1,0,0,1,1954,0
0,0,0,0,0,1954,1
0,1,0,0,1,1954,0
0,1,0,0,1,1954,0
0,0,0,0,0,1954,0
0,1,0,0,1,1954,0
0,1,0,0,1,1954,0
0,1,0,0,0,1954,1
0,0,0,0,1,1954,0
0,1,0,0,1,1955,0
0,1,0,0,1,1955,0
0,1,0,0,0,1955,0
0,0,0,0,0,1955,0
0,0,0,0,0,1955,1
1,1,0,0,0,1955,0
0,1,0,0,0,1955,1
0,1,0,0,0,1955,0
0,1,0,0,0,1955,0
0,1,0,0,0,1955,1
0,0,0,0,1,1955,0
0,1,0,0,1,1955,0
0,0,0,0,0,1955,0
0,0,0,0,0,1955,1
0,0,0,0,0,1955,0
0,1,0,0,1,1955,0
0,1,0,0,0,1955,0
0,1,0,0,0,1955,0
0,1,0,0,0,1955,1
0,1,0,0,0,1955,0
0,1,0,0,0,1955,1
2,0,0,0,0,1955,0
0,0,0,0,0,1955,0
0,1,0,0,0,1955,0
0,1,0,0,1,1955,0
0,0,0,0,1,1955,0
0,0,0,0,0,1955,0
0,1,0,0,0,1955,0
0,1,0,0,1,1955,0
0,0,0,0,0,1955,0
0,1,0,0,1,1955,0
0,1,0,0,1,1955,0
0,1,0,0,0,1955,0
0,0,0,0,0,1955,0
0,1,0,0,1,1955,0
0,0,0,0,1,1955,0
0,1,0,0,1,1955,0
0,1,0,0,0,1955,0
0,1,0,0,0,1955,0
0,1,0,0,0,1955,1
0,1,0,0,1,1955,0
0,1,0,0,1,1955,0
0,0,0,0,0,1955,1
0,1,0,0,0,1955,0
0,1,0,0,1,1955,0
0,0,0,0,1,1955,0
0,1,0,0,1,1955,0
0,1,0,0,1,1955,0
0,0,0,0,0,1955,0
0,1,0,0,0,1955,0
0,1,0,0,1,1955,0
0,1,0,0,0,1955,0
0,1,0,0,1,1955,0
0,0,0,0,1,1955,0
0,1,0,0,0,1955,0
0,1,0,0,0,1955,0
0,1,0,0,0,1955,0
0,1,0,0,0,1955,0
0,1,0,0,1,1955,0
0,1,0,0,1,1955,0
0,0,0,0,1,1955,0
0,1,0,0,0,1955,0
0,1,0,0,0,1956,0
0,1,0,0,1,1956,0
0,1,0,0,1,1956,0
0,1,0,0,0,1956,0
0,1,0,0,1,1956,0
0,1,0,0,1,1956,0
0,1,0,0,0,1956,0
0,1,0,0,0,1956,0
0,0,0,0,1,1956,0
0,1,0,0,1,1956,0
0,1,0,0,0,1956,1
0,1,0,0,0,1956,1
0,1,1,0,0,1956,1
0,1,0,0,1,1956,0
0,1,0,0,0,1956,0
0,1,0,0,0,1956,1
0,0,0,0,0,1956,0
0,1,0,0,0,1956,0
0,0,0,0,1,1956,0
0,1,0,0,1,1956,0
0,0,0,0,0,1956,1
0,1,0,0,0,1956,1
0,0,0,0,0,1956,0
0,1,0,0,1,1956,1
0,0,0,0,1,1956,0
0,1,0,0,1,1956,0
0,1,0,0,0,1956,0
0,0,0,0,0,1956,0
0,0,0,0,0,1956,0
0,1,0,0,0,1956,0
0,1,0,0,1,1956,1
0,0,0,0,0,1956,0
0,1,0,0,0,1956,0
0,0,0,0,0,1956,0
0,0,0,0,0,1956,0
0,0,0,0,1,1956,0
0,0,0,0,0,1956,0
0,1,0,0,0,1956,0
0,0,0,0,0,1956,1
0,1,0,0,0,1956,0
0,0,0,0,0,1956,0
0,1,1,0,0,1956,1
0,1,0,0,1,1956,0
0,1,0,0,1,1956,0
0,1,0,0,0,1956,0
0,0,0,0,1,1956,0
0,0,0,0,0,1956,0
0,1,0,0,1,1956,0
0,0,0,0,0,1956,0
0,1,0,0,0,1956,0
0,1,0,0,1,1956,0
0,1,0,0,0,1956,1
0,1,0,0,1,1956,0
0,1,0,0,0,1956,0
0,1,0,0,1,1956,0
0,0,0,0,1,1956,1
0,0,0,0,0,1956,0
0,0,0,0,0,1956,1
0,0,0,0,0,1956,0
0,0,0,0,1,1956,1
0,1,0,0,1,1956,1
0,1,0,0,1,1956,0
0,0,0,0,1,1956,0
0,0,0,0,0,1956,1
0,0,0,0,0,1956,1
0,0,0,0,0,1956,1
0,1,0,0,1,1956,0
0,0,0,0,0,1956,0
0,1,0,0,1,1956,0
0,1,0,0,0,1956,0
0,1,0,0,1,1956,0
0,1,0,0,0,1956,1
0,1,0,0,1,1956,1
0,1,0,0,1,1956,0
0,1,0,0,1,1956,0
0,1,0,0,0,1956,0
0,1,0,0,1,1956,0
0,1,1,0,0,1956,0
0,0,0,0,0,1957,0
0,0,0,0,1,1957,0
0,0,0,0,0,1957,0
0,1,0,0,1,1957,0
0,1,0,0,1,1957,0
0,0,0,0,0,1957,0
0,1,0,0,1,1957,0
0,0,0,0,0,1957,0
0,1,0,0,0,1957,0
0,1,0,0,1,1957,0
0,1,0,0,1,1957,0
0,1,0,0,0,1957,0
0,1,1,0,0,1957,0
0,1,0,0,1,1957,0
0,0,0,0,0,1957,0
0,0,0,0,0,1957,0
0,1,0,0,0,1957,1
0,0,0,0,0,1957,1
0,0,0,0,0,1957,0
0,1,0,0,0,1957,0
0,1,0,0,1,1957,1
0,1,0,0,0,1957,0
0,1,0,0,0,1957,0
0,0,0,0,1,1957,0
0,1,1,1,0,1957,0
0,1,0,0,0,1957,0
0,1,0,0,1,1957,0
0,1,0,0,0,1957,0
0,1,0,0,1,1957,1
0,1,0,0,0,1957,0
0,0,0,0,0,1957,0
0,1,0,0,0,1957,0
0,0,0,0,0,1957,0
0,1,0,1,0,1957,0
0,1,0,0,0,1957,0
0,1,0,0,0,1957,0
0,0,0,0,0,1957,0
0,1,0,0,0,1957,0
0,1,0,0,0,1957,0
0,0,0,0,0,1957,0
0,0,0,0,1,1957,0
0,1,0,0,1,1957,0
0,0,0,0,0,1957,0
0,1,0,0,0,1957,0
0,1,0,0,0,1957,0
0,0,0,0,0,1957,0
0,0,0,0,0,1957,0
0,1,0,0,0,1957,0
0,1,1,1,0,1957,0
0,1,0,0,0,1957,0
0,1,0,0,0,1957,0
0,1,0,0,1,1957,0
0,0,0,0,0,1957,0
0,1,0,0,0,1957,0
0,1,0,0,1,1957,1
0,1,0,0,0,1957,0
0,1,0,0,1,1957,0
0,1,1,0,1,1957,0
0,1,0,0,0,1957,0
0,1,0,0,0,1957,1
0,1,0,0,0,1957,0
0,1,0,0,1,1957,1
0,1,0,0,1,1957,1
