filename,breed
0,n02110627_10147.jpg,affenpinscher
1,n02110627_10185.jpg,affenpinscher
2,n02110627_10225.jpg,affenpinscher
3,n02110627_10437.jpg,affenpinscher
4,n02110627_10439.jpg,affenpinscher
5,n02110627_10447.jpg,affenpinscher
6,n02110627_10680.jpg,affenpinscher
7,n02110627_10787.jpg,affenpinscher
8,n02110627_10848.jpg,affenpinscher
9,n02110627_10859.jpg,affenpinscher
10,n02110627_10986.jpg,affenpinscher
11,n02110627_11211.jpg,affenpinscher
12,n02110627_11262.jpg,affenpinscher
13,n02110627_11263.jpg,affenpinscher
14,n02110627_11279.jpg,affenpinscher
15,n02110627_11283.jpg,affenpinscher
16,n02110627_11345.jpg,affenpinscher
17,n02110627_11365.jpg,affenpinscher
18,n02110627_11422.jpg,affenpinscher
19,n02110627_11435.jpg,affenpinscher
20,n02110627_11584.jpg,affenpinscher
21,n02110627_11614.jpg,affenpinscher
22,n02110627_11620.jpg,affenpinscher
23,n02110627_11657.jpg,affenpinscher
24,n02110627_11663.jpg,affenpinscher
25,n02110627_11759.jpg,affenpinscher
26,n02110627_11782.jpg,affenpinscher
27,n02110627_11783.jpg,affenpinscher
28,n02110627_11798.jpg,affenpinscher
29,n02110627_11811.jpg,affenpinscher
30,n02110627_11819.jpg,affenpinscher
31,n02110627_11835.jpg,affenpinscher
32,n02110627_11853.jpg,affenpinscher
33,n02110627_11858.jpg,affenpinscher
34,n02110627_11875.jpg,affenpinscher
35,n02110627_11942.jpg,affenpinscher
36,n02110627_12003.jpg,affenpinscher
37,n02110627_12025.jpg,affenpinscher
38,n02110627_12070.jpg,affenpinscher
39,n02110627_12077.jpg,affenpinscher
40,n02110627_12227.jpg,affenpinscher
41,n02110627_12272.jpg,affenpinscher
42,n02110627_12391.jpg,affenpinscher
43,n02110627_12431.jpg,affenpinscher
44,n02110627_12512.jpg,affenpinscher
45,n02110627_12556.jpg,affenpinscher
46,n02110627_12579.jpg,affenpinscher
47,n02110627_12676.jpg,affenpinscher
48,n02110627_12808.jpg,affenpinscher
49,n02110627_12819.jpg,affenpinscher
